contigName	contigLen	totalAvgDepth	MO_004.MO_004.sorted.bam	MO_004.MO_004.sorted.bam-var	MO_004.MO_005.sorted.bam	MO_004.MO_005.sorted.bam-var	MO_004.MO_007.sorted.bam	MO_004.MO_007.sorted.bam-var	MO_004.MO_010.sorted.bam	MO_004.MO_010.sorted.bam-var	MO_004.MO_034.sorted.bam	MO_004.MO_034.sorted.bam-var	MO_004.MO_035.sorted.bam	MO_004.MO_035.sorted.bam-var	MO_004.MO_039.sorted.bam	MO_004.MO_039.sorted.bam-var	MO_004.MO_042.sorted.bam	MO_004.MO_042.sorted.bam-var	MO_004.MO_046.sorted.bam	MO_004.MO_046.sorted.bam-var	MO_004.MO_071.sorted.bam	MO_004.MO_071.sorted.bam-var	MO_004.MO_073.sorted.bam	MO_004.MO_073.sorted.bam-var	MO_004.MO_074.sorted.bam	MO_004.MO_074.sorted.bam-var	MO_004.MO_077.sorted.bam	MO_004.MO_077.sorted.bam-var	MO_004.MO_082.sorted.bam	MO_004.MO_082.sorted.bam-var	MO_004.MO_098.sorted.bam	MO_004.MO_098.sorted.bam-var	MO_004.MO_102.sorted.bam	MO_004.MO_102.sorted.bam-var	MO_004.MO_103.sorted.bam	MO_004.MO_103.sorted.bam-var	MO_004.MO_106.sorted.bam	MO_004.MO_106.sorted.bam-var	MO_004.MO_133.sorted.bam	MO_004.MO_133.sorted.bam-var	MO_004.MO_135.sorted.bam	MO_004.MO_135.sorted.bam-var	MO_004.MO_138.sorted.bam	MO_004.MO_138.sorted.bam-var	MO_004.MO_140.sorted.bam	MO_004.MO_140.sorted.bam-var	MO_004.MO_167.sorted.bam	MO_004.MO_167.sorted.bam-var	MO_004.MO_170.sorted.bam	MO_004.MO_170.sorted.bam-var	MO_004.MO_180.sorted.bam	MO_004.MO_180.sorted.bam-var	MO_004.MO_184.sorted.bam	MO_004.MO_184.sorted.bam-var	MO_004.MO_188.sorted.bam	MO_004.MO_188.sorted.bam-var	MO_004.MO_192.sorted.bam	MO_004.MO_192.sorted.bam-var	MO_004.MO_197.sorted.bam	MO_004.MO_197.sorted.bam-var	MO_004.MO_199.sorted.bam	MO_004.MO_199.sorted.bam-var	MO_004.MO_202.sorted.bam	MO_004.MO_202.sorted.bam-var	MO_004.MO_207.sorted.bam	MO_004.MO_207.sorted.bam-var	MO_004.MO_226.sorted.bam	MO_004.MO_226.sorted.bam-var	MO_004.MO_231.sorted.bam	MO_004.MO_231.sorted.bam-var	MO_004.MO_234.sorted.bam	MO_004.MO_234.sorted.bam-var	MO_004.MO_236.sorted.bam	MO_004.MO_236.sorted.bam-var
MO_004.c_0	448327	426.446	33.1915	79.6589	24.9191	52.6639	20.0285	50.573	19.8756	59.8743	17.0144	35.0034	9.5073	17.156	3.7826	7.89106	5.81684	10.1771	21.5324	50.1852	16.2091	36.3356	15.876	32.7151	3.56458	8.98732	21.064	52.7271	20.0482	52.6902	14.5119	33.5872	17.5194	41.6064	6.66248	13.4446	4.52974	9.62106	14.3074	30.6573	4.42066	15.9633	14.8616	31.6029	18.4653	40.9224	1.05191	1.68485	5.99823	12.0275	5.72013	16.4821	0.78701	1.27415	2.43657	4.04195	0.72325	1.21755	16.9248	38.761	6.9075	12.0923	12.7203	27.6131	13.2348	28.2211	6.12216	11.3403	9.91606	31.8926	2.25809	5.17371	13.9366	29.8946
MO_004.c_9	211291	377.503	29.514	80.7437	22.0928	52.2123	17.9998	52.8748	18.6489	60.8132	14.5328	34.3412	8.49654	16.5527	3.56424	7.7688	5.19594	9.22293	18.9534	50.0064	14.2917	33.5549	13.8139	30.8116	3.17325	6.00129	18.5879	50.8307	17.5621	49.5589	12.7901	29.8687	15.1122	39.934	6.08994	12.6461	3.8967	8.45746	12.6535	27.1351	3.89593	13.8073	13.4845	31.0889	16.0894	40.8077	0.983779	1.70282	5.54667	11.6232	5.23792	15.3763	0.72147	1.26077	2.20675	3.88666	0.638417	1.05097	14.4854	36.539	5.8673	10.9377	11.5414	29.0091	11.3007	24.3548	5.34212	9.41436	8.94831	31.3942	1.97303	3.93618	12.27	27.7129
MO_004.c_10	180783	370.173	27.6396	65.2489	21.3312	44.6363	17.541	50.527	18.0793	58.3213	14.6905	30.6508	8.09097	15.3918	3.59136	7.36984	5.18322	9.19938	18.4533	40.3338	14.4294	29.9803	13.5273	25.474	3.28286	5.85868	17.8087	40.8235	17.4045	39.1249	12.3946	26.5903	15.2025	36.5171	6.19861	11.3727	4.04278	8.74266	12.3443	23.4633	3.94276	13.2342	12.8384	23.7625	15.9697	30.9131	0.951581	1.46744	5.77548	11.9674	5.40969	15.1111	0.721131	1.14549	2.18634	3.36677	0.541501	0.881699	13.928	30.3046	6.11856	11.4037	11.4635	22.0396	11.2667	21.5872	5.11103	9.16438	8.97938	28.3793	1.74362	3.2682	11.9891	24.1457
MO_004.c_11	158411	341.054	26.9125	65.3273	20.4043	45.6375	16.5667	45.1554	16.7506	54.3857	13.6445	29.0341	7.86434	14.3779	3.20364	6.48505	4.56457	8.03792	16.6954	41.3263	12.8427	29.4568	12.5041	29.8542	2.59392	4.99283	16.7853	45.905	15.2139	42.867	11.7524	26.9023	14.0694	34.7144	5.38191	10.8529	3.61245	8.66091	11.3163	25.7796	3.29271	11.7768	12.0572	26.1358	14.5185	34.2066	1.01196	1.74967	5.142	9.88418	5.12928	14.72	0.665988	1.05371	2.04223	3.47683	0.542939	0.831382	13.3543	33.1497	5.31816	10.6223	10.3188	23.399	10.0014	19.1654	4.34514	7.8768	8.07437	26.5449	1.71798	3.41633	10.8425	24.3827
MO_004.c_29	71656	348.048	27.9119	105.425	21.0101	64.2973	16.6991	59.4663	17.3469	59.3182	13.9645	44.9537	7.79739	20.1572	3.26753	7.21094	4.61696	11.2068	16.9787	64.4645	13.1224	44.0678	12.5461	39.5949	2.83448	5.56374	16.7643	66.0559	15.8926	65.764	11.6893	41.3302	13.9692	51.4677	5.7622	14.0866	3.70186	9.74501	11.8301	40.4921	3.43443	12.4516	11.8228	38.3013	14.3497	50.8433	1.09587	1.77131	4.76824	9.34143	4.70358	11.8295	0.659609	1.04668	2.04538	3.11251	0.660588	0.986127	13.8675	50.841	5.53131	11.7782	10.8233	34.7433	10.2101	27.2444	5.03103	11.3434	8.41342	36.3848	1.68959	3.81658	11.2367	32.5075
MO_004.c_30	68207	386.454	29.8409	60.0406	23.3906	50.8748	18.6363	52.8569	19.0468	59.073	14.5972	26.8591	8.37618	13.7869	3.64725	7.81633	5.46972	9.40068	19.1281	41.356	14.5775	27.9286	13.7959	31.3793	3.24352	6.09655	18.6844	42.8738	17.876	39.1274	13.1894	30.4324	16.1773	34.0127	6.66966	12.2162	3.81555	6.64888	12.9073	24.7518	4.0159	14.5355	13.5277	26.522	16.7758	35.1493	0.939609	1.56352	5.76836	10.3174	5.63034	14.5954	0.769546	1.18782	2.23499	3.48444	0.60896	1.01335	14.4545	31.3407	6.5008	10.9483	11.8221	23.5994	11.6099	21.6342	5.07943	7.90562	9.39056	28.3934	2.05472	4.13158	12.2015	23.6691
MO_004.c_31	67730	333.071	15.6677	42.4126	13.0169	26.3916	8.24651	20.5604	8.86693	27.3035	7.83576	17.7857	1.29802	2.26142	2.57397	5.7591	3.9653	6.98737	12.8877	33.5834	16.597	45.887	14.2038	33.3657	2.18859	3.75347	22.7548	75.2222	21.142	63.2626	12.2364	24.0409	12.8704	20.7992	6.59512	11.7379	3.34834	8.23801	19.6069	51.7428	7.51666	25.7373	19.3268	56.4823	25.919	85.5488	0.0737644	0.123466	0.435484	0.652398	1.1437	2.55815	0.115034	0.218592	0.128707	0.196752	0.0879106	0.177699	16.2486	52.0684	5.10826	8.85103	10.1524	21.8127	12.6358	34.4779	4.95796	8.88537	9.88748	32.6647	2.02116	3.89386	11.4095	28.1698
MO_004.c_32	67504	324.014	25.6923	71.755	19.9386	53.8626	16.0081	54.9981	16.355	59.3069	12.6242	27.5481	7.15963	14.1095	3.10222	7.29968	4.43369	8.57851	15.7863	41.5394	12.0423	31.3197	11.3879	32.5189	2.67312	5.21661	15.7061	53.5151	14.3918	54.8506	11.5745	33.3942	13.1927	42.2547	4.89816	10.8923	3.2554	7.08093	10.2521	27.5262	3.2616	11.4107	10.7968	25.0951	13.1555	43.68	0.933352	1.33209	5.84442	12.7406	5.45377	14.8515	0.688185	1.20213	2.31569	4.48658	0.682291	1.18769	12.2773	39.4368	5.38767	11.8094	10.1772	30.643	9.59566	24.4134	4.08758	8.52038	6.93209	24.0168	1.6852	3.58289	10.2655	30.1407
MO_004.c_33	63579	39.7195	13.2039	26.4714	10.4658	19.7451	4.9005	10.7012	3.5281	10.3415	0.00952246	0.0110702	0	0	0	0	0	0	0.0142837	0.0283935	0.142837	0.279111	0.0523735	0.094877	0.00476123	0.00809556	0.0880827	0.165908	0.0380898	0.0731612	0.0690378	0.07929	0.0785603	0.117018	0	0	0.0260922	0.143895	0.0166643	0.0306786	0.00952246	0.037996	0.0142837	0.0322328	0.0190449	0.0354875	0	0	0	0	0	0	0	0	0	0	0	0	2.63069	5.3491	0.0898643	0.144032	0.259109	0.438672	1.46138	2.85606	0.816488	2.32313	0.737786	2.58194	0.114269	0.21275	0.92844	3.01283
MO_004.c_34	61449	379.756	28.9652	77.7739	21.5399	50.8746	17.3995	50.3144	17.9862	58.3689	15.1035	37.1801	8.46201	16.487	3.65368	7.46975	5.47077	10.2051	18.9071	50.802	14.5733	34.6107	14.5774	32.1796	3.11941	5.86266	18.7906	48.9852	18.2811	49.3068	12.8846	29.3871	15.0931	39.3462	6.13765	13.718	4.21886	9.23413	12.4375	29.9372	4.30744	15.9507	13.7849	31.1502	16.0841	37.4418	0.932527	1.3589	4.77722	9.13148	4.71998	14.3532	0.662654	1.00222	2.17222	3.17483	0.643942	0.858488	14.7936	36.4414	6.67905	12.8277	11.8888	25.7574	11.5565	25.9009	5.22925	8.66827	8.95989	28.6418	1.85018	3.46679	13.1129	33.4955
